precipitation,surface_soil_wetness,rootsurface_soil_wetness,soil_moisture,elevation,scale
0.29,0.87,0.88,0.83,268.37,1
4.27,0.73,0.73,0.72,95.38,1
0,0.81,0.82,0.84,61.39,1
59.12,1,1,1,715.65,1
5.65,0.88,0.9,0.89,195.9,1
13.77,0.88,0.87,0.84,95.38,1
23.65,0.91,0.9,0.91,518.74,1
3.9,0.87,0.86,0.84,47.78,1
20.78,0.95,0.93,0.88,87.8,1
0.31,0.92,0.98,0.94,244.99,1
4.69,0.94,0.98,0.94,113.78,1
2.82,0.82,0.8,0.82,512.8,1
5.04,0.84,0.84,0.87,715.65,2
4.03,0.88,0.89,0.86,693.02,2
1.65,0.9,0.93,0.89,98.77,2
1.44,0.69,0.7,0.69,133.8,2
2.87,0.83,0.83,0.8,58.58,2
2.87,0.83,0.83,0.8,58.58,2
0.38,0.7,0.74,0.73,49.96,2
12.24,0.98,0.99,0.98,47.78,2
0,0.93,0.97,0.95,88.79,2
0,0.91,0.95,0.91,340.06,2
0,0.75,0.75,0.73,758,2
0,0.6,0.59,0.64,715.65,2
0,0.59,0.66,0.65,201.16,2
0,0.59,0.66,0.65,201.16,2
1.05,0.88,0.89,0.86,64.45,2
0,0.68,0.7,0.68,98.77,2
0,0.91,0.95,0.95,25.85,2
0,0.83,0.83,0.88,518.74,2
9.98,0.95,0.98,0.98,518.74,3
18.14,0.89,0.88,0.9,715.65,3
6.3,0.87,0.86,0.89,715.65,3
5.04,0.84,0.84,0.87,715.65,3
10.75,0.84,0.81,0.78,244.99,3
4.03,0.88,0.89,0.86,693.02,3
0.29,0.73,0.72,0.7,66.17,3
3.9,0.87,0.86,0.84,47.78,3
9.25,0.87,0.84,0.82,123.85,3
4.69,0.94,0.98,0.94,113.78,3
6.8,0.91,0.95,0.91,123.45,3
1,0.87,0.86,0.88,604.95,3
0.01,0.27,0.46,0.47,263.86,3
0,0.68,0.7,0.68,98.77,3
0,0.68,0.7,0.68,98.77,3
0,0.68,0.7,0.68,98.77,3
0,0.68,0.7,0.68,98.77,3
0,0.68,0.7,0.68,98.77,3
0,0.94,0.98,0.98,301.61,3
0,0.9,0.93,0.95,290.31,3
18.14,0.89,0.88,0.9,715.65,4
7.7,0.78,0.73,0.73,616.62,4
9.25,0.87,0.84,0.82,123.85,4
1.19,0.9,0.91,0.93,45.59,4
0.53,0.91,0.95,0.91,123.85,4
0.56,0.91,0.95,0.91,340.06,4
0,0.6,0.59,0.64,715.65,4
0,0.6,0.59,0.64,715.65,4
0.04,0.34,0.46,0.47,87.8,4
0.6,0.84,0.84,0.82,32.64,4
0,0.76,0.75,0.72,99.85,4
0,0.82,0.82,0.81,88.79,4
0.19,0.87,0.9,0.87,123.45,4
0,0.62,0.67,0.66,199.27,4
0,0.68,0.7,0.68,98.77,4
0,0.66,0.69,0.66,63.51,4
0,0.93,0.98,0.96,512.8,4
0,0.89,0.93,0.92,195.9,4
0,0.84,0.84,0.88,55.94,4
0.27,0.84,0.86,0.81,99.85,5
19.66,0.79,0.75,0.74,88.79,5
6.22,0.88,0.89,0.88,110.9,5
6.21,0.93,0.96,0.95,512.8,5
3.62,0.84,0.83,0.82,195.9,5
0,0.59,0.66,0.65,201.16,5
0,0.84,0.85,0.84,62.5,5
0,0.73,0.75,0.74,295.93,5
0,0.88,0.89,0.93,184.24,5
